name,result,time,prop
goal1.smt2,unknown,30217.94 ms,(forall ((x Nat)) (= (double x) (plus x x)))  ; G1
goal10.smt2,unknown,119542.23 ms,(forall ((x Lst)) (= (rev (rev x)) x))  ; G10
goal11.smt2,unknown,44839.86 ms,(forall ((x Lst) (y Lst)) (= (rev (append (rev x) (rev y))) (append y x)))  ; G11
goal12.smt2,success,1693.98 ms,(forall ((x Lst) (y Lst)) (= (qreva x y) (append (rev x) y)))  ; G12
goal13.smt2,unknown,30368.44 ms,(forall ((x Nat)) (= (half (plus x x)) x))  ; G13
goal14.smt2,unknown,31633.83 ms,(forall ((x Lst)) (sorted (sort x)))  ; G14
goal15.smt2,unknown,30101.12 ms,(forall ((x Nat)) (= (plus x (succ x)) (succ (plus x x))))  ; G15
goal16.smt2,unknown,30111.91 ms,(forall ((x Nat)) (even (plus x x)))  ; G16
goal17.smt2,unknown,30685.84 ms,(forall ((x Lst) (y Lst)) (= (rev (rev (append x y))) (append (rev (rev x)) (rev (rev y)))))  ; G17
goal18.smt2,unknown,30012.82 ms,(forall ((x Lst) (y Lst)) (= (rev (append (rev x) y)) (append (rev y) x)))  ; G18
goal19.smt2,unknown,52179.78 ms,(forall ((x Lst) (y Lst)) (= (append (rev (rev x)) y) (rev (rev (append x y)))))  ; G19
goal2.smt2,success,27.26 ms,(forall ((x Lst) (y Lst)) (= (len (append x y)) (len (append y x)))) ; G2
goal20.smt2,unknown,37987.39 ms,(forall ((x Lst)) (even (len (append x x))))  ; G20
goal21.smt2,success,367.74 ms,(forall ((x Lst) (y Lst)) (= (rotate (len x) (append x y)) (append y x))) ; G21
goal22.smt2,success,47.95 ms,(forall ((x Lst) (y Lst)) (= (even (len (append x y))) (even (len (append y x)))))  ; G22
goal23.smt2,success,20527.10 ms,(forall ((x Lst) (y Lst)) (= (half (len (append x y))) (half (len (append y x)))))  ; G23
goal24.smt2,success,41.24 ms,(forall ((x Nat) (y Nat)) (= (even (plus x y)) (even (plus y x))))  ; G24
goal25.smt2,success,30.40 ms,(forall ((x Lst) (y Lst)) (= (even (len (append x y))) (even (plus (len x) (len y)))))  ; G25
goal26.smt2,success,2805.92 ms,(forall ((x Nat) (y Nat)) (= (half (plus x y)) (half (plus y x))))  ; G26
goal27.smt2,success,19608.21 ms,(forall ((x Lst)) (= (rev x) (qreva x nil))) ; G27
goal28.smt2,unknown,30023.50 ms,(forall ((x Tree)) (= (revflat x) (qrevaflat x nil))) ; G28
goal29.smt2,unknown,31047.37 ms,(forall ((x Lst)) (= (rev (qreva x nil)) x)) ; G29
goal3.smt2,success,13.84 ms,(forall ((x Lst) (y Lst)) (= (len (append x y)) (plus (len x) (len y))))  ; G3
goal30.smt2,unknown,77482.47 ms,(forall ((x Lst)) (= (rev (append (rev x) nil)) x)) ; G30
goal31.smt2,unknown,30667.31 ms,(forall ((x Lst)) (= (qreva (qreva x nil) nil) x))  ; G31
goal32.smt2,unknown,33222.05 ms,(forall ((x Lst)) (= (rotate (len x) x) x)) ; G32
goal33.smt2,success,636.10 ms,(forall ((x Nat)) (= (fac x) (qfac x (succ zero)))) ; G33
goal34.smt2,success,2727.80 ms,(forall ((x Nat) (y Nat)) (= (mult x y) (qmult x y zero)))  ; G34
goal35.smt2,unknown,33078.62 ms,(forall ((x Nat) (y Nat)) (= (exp x y) (qexp x y (succ zero))))   ; G35
goal36.smt2,success,30.99 ms,(forall ((x Nat) (y Lst) (z Lst)) (=> (mem x y) (mem x (append y z))))  ; G36
goal37.smt2,success,10.30 ms,(forall ((x Nat) (y Lst) (z Lst)) (=> (mem x z) (mem x (append y z))))  ; G37
goal38.smt2,success,10.80 ms,(forall ((x Nat) (y Lst) (z Lst)) (=> (or (mem x y) (mem x z)) (mem x (append y z)))) ; G38
goal39.smt2,success,6.01 ms,(forall ((x Nat) (y Nat) (z Lst)) (=> (mem x (drop y z)) (mem x z)))  ; G39
goal4.smt2,unknown,30048.91 ms,(forall ((x Lst)) (= (len (append x x)) (double (len x))))  ; G4
goal40.smt2,unknown,30037.74 ms,(forall ((x Lst) (y Lst)) (=> (lst-subset x y) (lst-eq (lst-union x y) y)))  ; G40
goal41.smt2,unknown,36203.77 ms,(forall ((x Lst) (y Lst)) (=> (lst-subset x y) (lst-eq (lst-intersection x y) x))) ; G41
goal42.smt2,unknown,30023.44 ms,(forall ((x Nat) (y Lst) (z Lst)) (=> (lst-mem x y) (lst-mem x (lst-union y z))))  ; G42
goal43.smt2,success,10.12 ms,(forall ((x Nat) (y Lst) (z Lst)) (=> (lst-mem x y) (lst-mem x (lst-union z y))))  ; G43
goal44.smt2,success,30.15 ms,(forall ((x Nat) (y Lst) (z Lst)) (=> (and (lst-mem x y) (lst-mem x z)) (lst-mem x (lst-intersection y z)))) ; G44
goal45.smt2,success,5.64 ms,(forall ((x Nat) (y Lst)) (mem x (insort x y))) ; G45
goal46.smt2,success,5.30 ms,(forall ((x Nat) (y Nat) (z Lst)) (=> (= x y) (mem x (insort y z))))  ; G46
goal47.smt2,success,5.96 ms,(forall ((x Nat) (y Nat) (z Lst)) (=> (not (= x y)) (= (mem x (insort y z)) (mem x z))))  ; G47
goal48.smt2,success,147.00 ms,(forall ((x Lst)) (= (len (sort x)) (len x))) ; G48
goal49.smt2,unknown,30046.30 ms,(forall ((x Nat) (y Lst)) (=> (mem x (sort y)) (mem x y)))  ; G49
goal5.smt2,success,2335.02 ms,(forall ((x Lst)) (= (len (rev x)) (len x)))  ; G5
goal50.smt2,unknown,30584.34 ms,(forall ((x Nat) (y Lst)) (= (count x (sort y)) (count x y))) ; G50
goal51.smt2,success,8.85 ms,(forall ((x Nat) (y Nat)) (= (plus x (succ y)) (succ (plus x y))))  ; G51
goal52.smt2,success,16.01 ms,(forall ((x Lst) (y Nat) (z Lst)) (= (len (append x (cons y z))) (succ (len (append x z)))))  ; G52
goal53.smt2,success,14.65 ms,(forall ((x Lst) (y Nat)) (= (len (append x (cons y nil))) (succ (len x)))) ; G53
goal54.smt2,success,12.40 ms,(forall ((w Nat) (x Nat) (y Nat) (z Lst)) (= (drop (succ w) (drop x (cons y z))) (drop w (drop x z))))  ; G54
goal55.smt2,success,12.58 ms,(forall ((v Nat) (w Nat) (x Nat) (y Nat) (z Lst)) (= (drop (succ v) (drop (succ w) (cons x (cons y z)))) (drop (succ v) (drop w (cons x z)))))  ; G55
goal56.smt2,success,31.52 ms,(forall ((v Nat) (w Nat) (x Nat) (y Nat) (z Lst)) (= (drop (succ v) (drop w (drop x (cons y z)))) (drop v (drop w (drop x z)))))  ; G56
goal57.smt2,success,41.53 ms,(forall ((u Nat) (v Nat) (w Nat) (x Nat) (y Nat) (z Lst)) (= (drop (succ u) (drop v (drop (succ w) (cons x (cons y z))))) (drop (succ u) (drop v (drop w (cons x z))))))  ; G57
goal58.smt2,success,8.62 ms,(forall ((x Lst) (y Nat)) (= (rev (append x (cons y nil))) (cons y (rev x)))) ; G58
goal59.smt2,success,37.61 ms,(forall ((x Lst) (y Lst) (z Nat)) (= (rev (append x (append y (cons z nil)))) (cons z (rev (append x y))))) ; G59
goal6.smt2,unknown,38043.41 ms,(forall ((x Lst) (y Lst)) (= (len (rev (append x y))) (plus (len x) (len y))))  ; G6
goal60.smt2,success,29.27 ms,(forall ((x Lst) (y Nat)) (= (rev (append (append x (cons y nil)) nil)) (cons y (rev (append x nil))))) ; G60
goal61.smt2,success,19.15 ms,(forall ((x Lst) (y Nat) (z Lst)) (= (append (append x (cons y nil)) z) (append x (cons y z)))) ; G61
goal62.smt2,unknown,33091.39 ms,(forall ((x Lst) (y Nat)) (=> (sorted x) (sorted (insort y x))))  ; G62
goal63.smt2,success,14.50 ms,(forall ((x Lst) (y Lst) (z Nat)) (= (append (append x y) (cons z nil)) (append x (append y (cons z nil)))))  ; G63
goal64.smt2,success,70.60 ms,(forall ((w Lst) (z Lst) (x Nat) (y Nat)) (= (even (len (append w z))) (even (len (append w (cons x (cons y z)))))))  ; G64
goal65.smt2,success,21.73 ms,(forall ((w Lst) (x Nat) (y Nat) (z Lst)) (= (len (append w (cons x (cons y z)))) (succ (succ (len (append w z))))))  ; G65
goal66.smt2,success,16.60 ms,(forall ((x Nat) (y Nat)) (= (even (plus x y)) (even (plus x (succ (succ y))))))  ; G66
goal67.smt2,success,5.43 ms,(forall ((x Nat) (y Nat)) (= (plus x (succ (succ y))) (succ (succ (plus x y))))) ; G67
goal68.smt2,success,9.21 ms,(forall ((x Nat) (y Lst)) (= (len (insort x y)) (succ (len y))))  ; G68
goal69.smt2,success,5.46 ms,(forall ((x Nat) (y Nat) (z Lst)) (=> (not (= x y)) (=> (mem x (insort y z)) (mem x z)))) ; G69
goal7.smt2,success,56.66 ms,(forall ((x Lst) (y Lst)) (= (len (qreva x y)) (plus (len x) (len y))))  ; G7
goal70.smt2,success,6.47 ms,(forall ((x Nat) (y Lst)) (= (count x (insort x y)) (succ (count x y))))  ; G70
goal71.smt2,success,7.47 ms,(forall ((x Nat) (y Nat) (z Lst)) (=> (not (= x y)) (= (count x (insort y z)) (count x z))))  ; G71
goal72.smt2,success,13.38 ms,(forall ((x Lst) (y Lst) (z Lst)) (= (append (append x y) z) (append x (append y z))))  ; G72
goal73.smt2,unknown,326801.26 ms,(forall ((x Nat) (y Nat) (z Nat)) (= (mult (mult x y) z) (mult x (mult y z))))  ; G73
goal74.smt2,success,13.31 ms,(forall ((x Nat) (y Nat) (z Nat)) (= (plus (plus x y) z) (plus x (plus y z))))  ; G74
goal75.smt2,success,1786.13 ms,(forall ((x Lst) (y Lst)) (= (append (rev x) y) (qreva x y))) ; G75
goal76.smt2,success,3677.27 ms,(forall ((x Tree) (y Lst)) (= (append (revflat x) y) (qrevaflat x y))) ; G76
goal77.smt2,success,831.95 ms,(forall ((x Lst) (y Lst)) (= (rev (qreva x y)) (append (rev y) x))) ; G77
goal78.smt2,unknown,33394.95 ms,(forall ((x Lst) (y Lst)) (= (rev (qreva x (rev y))) (append y x))) ; G78
goal79.smt2,unknown,30081.08 ms,(forall ((x Lst) (y Lst)) (= (rev (append (rev x) y)) (append (rev y) x))) ; G79
goal8.smt2,success,27.43 ms,(forall ((x Nat) (y Nat) (z Lst)) (= (drop x (drop y z)) (drop y (drop x z))))  ; G8
goal80.smt2,unknown,45848.58 ms,(forall ((x Lst) (y Lst)) (= (rev (append (rev x) (rev y))) (append y x))) ; G80
goal81.smt2,unknown,33941.90 ms,(forall ((x Lst) (y Lst)) (= (qreva (qreva x y) nil) (append (rev y) x))) ; G81
goal82.smt2,unknown,34682.31 ms,(forall ((x Lst) (y Lst)) (= (qreva (qreva x (rev y)) nil) (append y x))) ; G82
goal83.smt2,success,362.69 ms,(forall ((x Lst) (y Lst)) (= (rotate (len x) (append x y)) (append y x))) ; G83
goal84.smt2,success,650.30 ms,(forall ((x Nat) (y Nat)) (= (mult (fac x) y) (qfac x y))) ; G84
goal85.smt2,success,7085.06 ms,(forall ((x Nat) (y Nat) (z Nat)) (= (plus (mult x y) z) (qmult x y z))) ; G85
goal86.smt2,unknown,33513.05 ms,(forall ((x Nat) (y Nat) (z Nat)) (= (mult (exp x y) z) (qexp x y z))) ; G86
goal9.smt2,success,285.22 ms,(forall ((x Nat) (y Nat) (w Nat) (z Lst)) (= (drop w (drop x (drop y z))) (drop y (drop x (drop w z)))))  ; G9
